Brand_info,All_vegan,Partial_vegan
About Face – 100% vegan,True,False
Ace Beauté,False,False
ACURE – 100% vegan,True,False
AG Care – 100% vegan,True,False
Anastasia Beverly Hills,False,False
Andalou Naturals,False,False
Aquis,False,False
Arctic Fox – 100% vegan,True,False
Ardell,False,False
Ariana Grande,False,False
Axiology – 100% vegan,True,False
Babo Botanicals,False,False
bare Minerals (list of bare Minerals vegan products) – Parent company is not cruelty-free.,False,True
Beast,False,False
Beauty Bakerie,False,False
beautyblender,False,False
BH Cosmetics,False,False
Bio Ionic,False,False
Bliss,False,False
"Body Shop, The",False,False
Boscia,False,False
Briogeo – Parent company is not cruelty-free.,False,False
Burt’s Bees – Parent company is not cruelty-free.,False,False
Buxom – Parent company is not cruelty-free.,False,False
Cocokind,False,False
ColourPop,False,False
Conair,False,False
COOLA (list of COOLA vegan products),False,True
CoverFX – 100% vegan,True,False
COVERGIRL – Parent company is not cruelty-free. ,False,False
DefineMe Fragrance – 100% vegan,True,False
Derma E – 100% vegan,True,False
Dermablend – Parent company is not cruelty-free. ,False,False
Dermalogica – Parent company is not cruelty-free. ,False,False
DevaCurl – Parent company is not cruelty-free. ,False,False
DryBar,False,False
Eco Tools,False,False
ELF Cosmetics,False,False
Ella + Mila,False,False
EOS,False,False
Eva NYC,False,False
Every Man Jack,False,False
Eylure,False,False
Fenty Beauty,False,False
Flower Beauty,False,False
Fourth Ray Beauty – 100% vegan,True,False
Frank Body (list of Frank Beauty vegan products),False,True
Garnier – Parent company is not cruelty-free.,False,False
HAN Skincare Cosmetics,False,False
Hask,False,False
Hello Products – 100% vegan. Parent company is not cruelty-free.,True,False
Hempz,False,False
Heritage Store,False,False
Hourglass Cosmetics – Parent company is not cruelty-free.,False,False
House of Lashes,False,False
Hynt Beauty,False,False
IGK -100% vegan,True,False
Indie Lee,False,False
It’s a 10,False,False
J.R. Watkins,False,False
Jane Iredale,False,False
Josie Maran,False,False
Juice Beauty – 100% vegan,True,False
Keys Soulcare,False,False
Kinship,False,False
Kitsch – 100% vegan,True,False
Kopari (list of Kopari vegan products),False,True
KORRES,False,False
KVD Beauty – 100% vegan,True,False
Kylie Cosmetics – Parent company is not cruelty-free.,False,False
Kylie Skin – Parent company is not cruelty-free.,False,False
LAVANILA,False,False
Lime Crime – 100% vegan,True,False
Loving Tan – 100% vegan,True,False
Mad Hippie – 100% vegan,True,False
Makeup Eraser – 100% vegan,True,False
Makeup Revolution,False,False
Manic Panic – 100% vegan,True,False
Mario Badescu,False,False
Mented Cosmetics,False,False
Michael Todd,False,False
Milani (list of Milani vegan products),False,True
Murad – Parent company is not cruelty-free.,False,False
MyChelle Dermaceuticals,False,False
NABLA,False,False
Nad’s Natural,False,False
NEST Fragrances,False,False
No7 – Parent company is not cruelty-free.,False,False
Not Your Mother’s,False,False
Nudestix – 100% vegan,True,False
NYX – Parent company is not cruelty-free.,False,False
Odele – 100% vegan,True,False
OFRA Cosmetics – 100% vegan,True,False
Olaplex – 100% vegan,True,False
Olio E Osso,False,False
OSEA – 100% vegan,True,False
"Ordinary, The – 100% vegan. Parent company is not cruelty-free.",True,False
ORLY,False,False
OUAI,False,False
Ouidad,False,False
Pacifica – 100% vegan,True,False
Parissa,False,False
Patchology (list of Patchology vegan products),False,True
Paul Mitchell,False,False
Peach & Lily,False,False
Peace Out,False,False
Peach Slices,False,False
Perricone MD,False,False
Philosophy – Parent company is not cruelty-free.,False,False
Pinrose – 100% vegan,True,False
Pipette,False,False
Pixi Beauty,False,False
Poo~Pourri – 100% vegan,True,False
PUR Cosmetics (list of PUR Cosmetics vegan products),False,True
Pureology – Parent company is not cruelty-free.,False,False
PYT Beauty,False,False
r.e.m. Beauty – 100% vegan,True,False
Real Techniques,False,False
Rituel de Fille,False,False
Rosebud Perfume sk*pCo.,False,False
Sand & Sky,False,False
Seed Phytonutrients – Parent company is not cruelty-free.,False,False
Shea Moisture – Parent company is not cruelty-free.,False,False
sk*p,False,False
Skinfix,False,False
skyn ICELAND – 100% vegan,True,False
SmartyPits,False,False
Smashbox (list of Smashbox vegan products) – Parent company is not cruelty-free.,False,True
Soap & Glory – Parent company is not cruelty-free,False,False
Spectrum – 100% vegan,True,False
St. Tropez,False,False
Static Nails – 100% vegan,True,False
Stila,False,False
StriVectin,False,False
Sugar Rush by Tarte – 100% vegan. Parent company is not cruelty-free.,True,False
Sun Bum,False,False
Sunday Riley,False,False
Supergoop!,False,False
SweetSpot Labs,False,False
T3,False,False
Tanologist – 100% vegan,True,False
Tarte (list of Tarte vegan products) – Parent company is not cruelty-free.,False,True
TheraBreath – Parent company is not cruelty-free,False,False
Tony Moly,False,False
Too Faced (list of Too Faced vegan products) – Parent company is not cruelty-free.,False,True
Touchland – 100% vegan,True,False
Tree Hut,False,False
TRESemmé – Parent company is not cruelty-free.,False,False
Truly – 100% vegan,True,False
ULTA,False,False
Undefined Beauty,False,False
Uoma Beauty,False,False
Urban Decay – Parent company is not cruelty-free.,False,False
Urban Veda – 100% vegan,True,False
Undone Beauty,False,False
Urban Skin Rx,False,False
VERB,False,False
Well People,False,False
WLDKAT – 100% vegan,True,False
Vacation – 100% vegan,True,False
"Vintage Cosmetic Company, The",False,False
Yes to,False,False
Youthforia – 100% vegan,True,False
ZitSticka,False,False
Zoya,False,False
Aveeno,False,False
Biore,False,False
Clarisonic,False,False
Clean & Clear,False,False
Jergens,False,False
John Frieda,False,False
Kiehl’s,False,False
L’Oreal,False,False
MAC,False,False
NARS,False,False
Neutrogena,False,False
Nivea,False,False
Olay,False,False
Origins,False,False
Proactiv,False,False
Shiseido,False,False
